id,question,Step 1 Words,Step 2 Words,Step 3 Words,Step 4 Words,Step 5 Words
chal-494,Paul had 51 books and 106 pens. After selling some books and pens in a garage sale he had 82 books and 14 pens left. How many pens did he sell in the garage sale?,11,15,27,29,
chal-495,Zachary did 44 push-ups and 17 crunches in gym class today. David did 29 more push-ups but 13 less crunches than zachary. How many crunches did David do?,32,18,32,,
chal-496,Paul had 42 pens and 143 books. After selling some books and pens in a garage sale he had 113 books and 19 pens left. How many pens did he sell in the garage sale?,8,17,18,21,
chal-497,Danny collects bottle caps and wrappers. He found 71 bottle caps and 24 wrappers at the park. Now he has 28 bottle caps and 16 wrappers in his collection. How many more bottle caps than wrappers does danny have now?,16,14,30,,
chal-498,Dan has $ 4. He bought 99 candy bar for $ 3 each one costing the same amount of money. How much money is left?,27,33,,,
chal-499,5 children were riding on the bus. At the bus stop 63 children got off the bus while some more got on the bus. Then there were 14 children altogether on the bus. How many more children got on the bus than those that got off?,14,30,40,,
chal-500,Debby bought 95 soda bottles and 180 water bottles when they were on sale. If she drank 15 water bottles and 54 soda bottles a day. How many days would the water bottles last?,16,16,25,,
chal-501,Mary is baking a cake. The recipe calls for 3 cups of sugar and 10 cups of flour. She already put in some cups of flour. If she still needs 5 more cups of flour than sugar. How many cups of flour did she put in?,7,7,14,13,13
chal-502,Faye had 35 packs of pencils each one having 4 pencils. She was placing her pencils into rows with 2 pencils in each row. How many rows could she make?,18,27,,,
chal-503,Each Ferris wheel in paradise park has 19 seats. Each seat in a Ferris wheel can hold 15 people. How many people can ride 20 Ferris wheels at the same time?,17,27,,,
chal-504,Bobby had 19 pieces of candy. He ate 2 pieces of candy. How many pieces of candy does he still have left?,17,12,25,,
chal-505,Bobby had 20 pieces of candy. He ate 34 pieces of candy. Then he ate 18 more. How many pieces of candy did Bobby eat?,13,14,19,,
chal-506,"After eating a hearty meal they went to see the Buckingham palace. There, Rachel learned that 705 visitors came to the Buckingham palace that day. If there were 191 visitors the previous day and 457 visitors the day before that. How many more visitors visited the Buckingham palace on that day than on the previous 245 days?",16,17,12,,
chal-507,Paul had 108 books and 55 pens. After selling some books and pens in a garage sale he had 66 books and 59 pens left. How many books did he sell in the garage sale?,20,23,23,13,
chal-508,Marco and his dad went strawberry picking. Marco's dad's strawberries weighed 11 pounds. If together their strawberries weighed 30 pounds. How much did Marco's strawberries weigh?,15,26,28,,
chal-509,"Julia played tag with 5 kids on monday, 9 kids on tuesday and 15 kids on wednesday. How many kids did she play with on monday and wednesday?",20,24,27,,
chal-510,Marco and his dad went strawberry picking. Marco's strawberries weighed 15 pounds. If together their strawberries weighed 37 pounds. How much did his dad's strawberries weigh?,13,14,27,,
chal-511,Shirley sold 10 boxes of trefoils. How many boxes are in each case if she needs to deliver 5 cases of boxes?,31,,,,
chal-512,Paul got a box of 521 crayons and 66 erasers for his birthday. At the end of the school year he only had 154 left while not having lost a single erasers. How many crayons had been lost or given away?,29,,,,
chal-513,David did 56 more push-ups than Zachary in gym class today. If David did 38 push-ups. How many push-ups did Zachary and David do altogether?,27,36,,,
chal-514,Danny collects bottle caps and wrappers. He found 10 bottle caps and 62 wrappers at the park. Now he has 27 bottle caps and 43 wrappers in his collection. How many more wrappers than bottle caps does danny have now?,28,26,21,,
chal-515,Tiffany was collecting cans for recycling. On monday she had 8 bags of cans. She found 10 bags of cans on the next day and 4 bags of cans the day after that. How many bags did she find after monday?,14,14,28,,
chal-516,Faye was placing her pencils into rows with 16 pencils in each row. She had 28 packs of pencils each one having 24 pencils. How many rows could she make?,22,33,29,,
chal-517,4 birds and 3 storks were sitting on the fence. 6 more storks came to join them. How many more storks than birds are sitting on the fence?,21,9,17,,
chal-518,Jessie weighed 114 kilograms. After she started to go jogging everyday she lost 50 kilograms in the first week and 60 kilograms in the second week. How much does she weigh now?,13,28,30,9,
chal-519,6 packs of dvds can be bought with 120 dollars. How much does each pack cost?,12,17,35,,
chal-520,"Julia played tag with 14 kids on monday, 2 kids on tuesday and 8 kids on wednesday. How many more kids did she play with on monday than on wednesday?",17,17,21,,
chal-521,"There were 73 parents, 724 pupils and 744 teachers in the program. How many people were present in the program?",18,17,10,,
chal-522,At the stop 8 more people got on the train. Initially there were 11 people on the train. How many people are there on the train now?,16,35,,,
chal-523,Frank had 33 pieces of candy. He lost 24 of them. If he put the remaining pieces into bags with 9 pieces in each bag. How many bags would he have?,10,16,20,31,
chal-524,Bryan took a look at his books as well. If he has 34 books distributed equally in 2 bookshelves. How many books are there in each bookshelf?,29,8,,,
chal-525,A waiter had 3 customers. After some more arrived he had 8 customers. How many new customers arrived?,12,28,17,,
chal-526,Brenda's mother made cookies for guests. If she prepared 38 cookies and each of them had 19 cookies. How many guests did she prepare cookies for?,12,19,,,
chal-527,"They decided to hold the party in their backyard. They have some sets of tables, each having the 3 chairs. If there are a total of 9 chairs in the backyard. How many sets of tables do they have?",24,15,,,
chal-528,Luke played a trivia game and scored 154 points. If he gained the 11 points in each round. How many rounds did he play?,15,13,15,,
chal-529,"Jack received 3 emails in the afternoon, 6 emails in the morning and some more in the evening. If he received a total of 10 emails in the day. How many emails did jack receive in the evening?",18,21,7,,
chal-530,There are 65 baskets of peaches. Each basket has 7 red peaches and 3 green peaches. How many peaches are in each basket?,20,26,,,
chal-531,The school is planning a field trip. The school has 102 classrooms. There are 11 students in the school and 99 seats on each school bus. If 8 students do n't want to go for the trip. How many students are going on the trip?,16,15,47,,
chal-532,Jesse's room is 11 feet long and 15 feet wide. If she already has 16 square feet of carpet. How much more carpet does she need to cover the whole floor?,21,21,37,,
chal-533,Jake has 6 fewer peaches and 8 more apples than Steven. Steven has 17 peaches and 16 apples. How many more peaches than apples does Steven have?,20,20,32,,
chal-534,Danny collects bottle caps. He threw away 60 of the old ones at the park while he found 58 bottle caps new ones. Now he has 67 bottle caps in his collection. How many bottle caps did danny have at first?,13,19,30,15,
chal-535,Nell collects baseball cards. She had 573 cards. She gave 195 cards to John and yet some more to Jeff. Now she has 210 cards left. How many cards did Nell give to Jeff?,18,22,33,,
chal-536,Next on his checklist is wax to stick the feathers together. If he currently has 11 g of wax and the feathers require a total of 492 g of wax. How many more grams of wax does he need?,19,14,29,,
chal-537,Winter is almost here and most animals are migrating to warmer countries. There are 49 bird families living near the mountain. 59 bird families flew away for winter and 24 new bird families came to live near the mountain from the arctic. How many bird families were left near the mountain?,20,27,,,
chal-538,Steven has 19 peaches. Jake has 12 fewer peaches than Steven and 72 more peaches than Jill. How many peaches does Jake have?,25,25,,,
chal-539,Josh had some marbles in his collection. He lost 21 marbles. If he has 12 marbles now. How many marbles did he have in his collection?,15,18,10,,
chal-540,He had 15 aquariums for saltwater animals and 62 aquariums for freshwater animals. Each aquarium has 19 animals in it. How many animals does he have in total?,22,22,19,,
chal-541,Jessie currently weighs 27 kilograms. After she started to go jogging everyday she lost 101 kilograms. How much did she weigh before starting to jog?,9,10,9,,
chal-542,Dan has $ 3 left with him after he bought a candy bar for $ 2. How much money did he have initially?,12,22,17,,
chal-543,Zachary did 53 push-ups and 14 crunches in gym class today. David did 17 more push-ups but 10 less crunches than zachary. How many push-ups and crunches did Zachary do?,11,11,22,22,
chal-544,A book has 3 chapters. The first chapter is 91 pages long the second chapter is 23 pages long and the third chapter is 25 pages long. How many more pages does the first chapter have than the second chapter?,11,11,19,,
chal-545,Danny collects bottle caps. He found 36 bottle caps at the park while he threw away 35 old ones. Now he has 22 bottle caps in his collection. How many more bottle caps did danny find at the park than those he threw away?,11,32,39,,
chal-546,Dan has $ 4. For a total of $ 3 he bought 10 candy bar each one costing the same amount of money. How much money is left?,11,31,29,,
chal-547,Mary is baking a cake. The recipe calls for 6 cups of sugar and 9 cups of flour. She already put in 2 cups of flour. How many more cups of flour than cups of sugar does she need to add now?,24,25,24,,
chal-548,"At the zoo, a cage had 95 snakes and 61 alligators. If 64 snakes were hiding. How many snakes were not hiding?",13,12,30,,
chal-549,Emily is making bead necklaces for her friends. She was able to make 6 necklaces and she had 18 beads. How many beads did each necklace need?,16,17,27,,
chal-550,Tiffany was collecting cans for recycling. On monday she had 3 bags of cans. The next day she found 7 more bags of cans and 44 bags of bottles. How many bags of cans did she have altogether?,18,19,7,21,11
chal-551,Robin has some packages of gum. There are 7 pieces in each package. Robin has 6 extra pieces of gum. In all the number of pieces of gums robin has is 41. How many packages does Robin have?,20,17,45,,
chal-552,Baker made 155 cakes. If his friend bought 140 cakes from him. How many cakes would baker still have?,26,22,,,
chal-553,2 children were riding on the bus. At the bus stop some more children got on the bus. Then there were 10 children altogether on the bus. How many more children are on the bus now than there were before the bus stop?,21,21,33,,
chal-554,Danny collects bottle caps and wrappers. He found 22 bottle caps and 8 wrappers at the park. Now he has 28 bottle caps and 63 wrappers in his collection. How many bottle caps did danny have at first?,19,23,43,,
chal-555,For the walls of the house he would use 8 large planks of wood. If each plank of wood needs 74 pieces of nails to be secured. How many planks does John need for the house wall?,15,19,,,
chal-556,Paco ate 36 cookies. If he had 37 cookies initially. How many cookies did Paco have left?,13,11,24,,
chal-557,Bobby had 21 pieces of candy. He ate 5 pieces of candy. Then he ate 9 more. How many pieces of candy does he still have left?,22,19,43,,
chal-558,Baker made 54 cakes. He sold some of them. If he still has 13 cakes left. How many cakes did baker sell?,13,23,25,,
chal-559,During summer break 819058 kids from Lawrence county go to camp and the other 668278 kids stay home. How many more kids spent their summer break at the camp compared to those who stayed home?,16,21,25,,
chal-560,Randy has 79 blocks. He uses 14 blocks to build a tower and 11 blocks to build a house. How many blocks are left?,11,27,29,,
chal-561,"Every day Ryan spends 6 hours on learning english 7 hours on learning chinese and 3 hours on learning spanish. How many hours does he spend on learning english, chinese and spanish in all?",24,28,,,
chal-562,2 birds were sitting on the fence. Some more birds came to join them. If there are a total of 6 birds on the fence now. How many more birds had come to sit on the fence?,17,41,23,,
chal-563,In a school there are 635 girls and the rest are boys. If there are 510 more boys than girls. How many boys are there in that school?,12,39,,,
chal-564,Jesse's room is 12 feet long and 11 feet wide. How much longer is her room than it is wide?,12,12,18,,
chal-565,There are 16 different books and 14 different movies in the ' crazy silly school ' series. If you read 19 of the books and watched 13 of the movies. How many more books than movies are there in the ' crazy silly school ' series?,17,11,11,13,
chal-566,You had 14 bags with equal number of cookies. If you had 28 cookies and 86 candies in total. How many bags of cookies do you have?,26,18,27,,
chal-567,Jerry had 2 action figures and 10 books on a shelf in his room. Later he added 4 more action figures to the shelf. How many more books than action figures were on his shelf?,24,18,32,,
chal-568,Mary is baking a cake. The recipe calls for 5 cups of sugar and 13 cups of flour. She already put in some cups of flour. If she still needs 12 more cups of flour. How many cups of flour did she put in?,25,30,23,,
chal-569,"Rachel had to complete 9 pages of math homework, 11 pages of reading homework and 29 more pages of biology homework. How many pages of math and reading homework did she have to complete?",20,42,,,
chal-570,Paige was helping her mom plant flowers in 8 flowerbeds. They planted 32 seeds altogether. If they put same number of seeds in each flower bed. How many seeds did they plant in each flowerbed?,12,27,26,,
chal-571,He then went to see the oranges being harvested. He found out that they harvest 25 sacks of unripe oranges and 5 sacks of ripe oranges per day. How many sacks of ripe oranges will they have after 73 days of harvest?,25,25,22,,
chal-572,Paul had 134 books. After giving 39 books to his friend and selling some books in a garage sale he had 68 books left. How many books did he sell in the garage sale?,14,35,13,,
chal-573,Paco had 97 salty cookies and 34 sweet cookies. He ate 15 sweet cookies and 56 salty cookies. How many sweet cookies did Paco have left?,23,23,23,,
chal-574,The school is planning a field trip. The school has 84 classrooms. 95 school buses are fully filled with 118 seats on each school bus. How many students are in the school?,15,27,22,,
chal-575,Faye was placing her pencils and crayons into 30 rows with 71 crayons and 24 pencils in each row. How many pencils does she have?,9,23,22,,
chal-576,Faye was placing 12 pencils equally into 3 rows. How many pencils did she place in each row?,10,22,24,,
chal-577,"Julia played tag with 15 kids on monday, 18 kids on tuesday and 7 kids on wednesday. How many more kids did she play with on monday and tuesday than on wednesday?",17,18,24,,
chal-578,Baker made 133 cakes. If he sold 51 of them. How many more cakes did baker make than those he sold?,11,12,8,,
chal-579,There are 18 bananas in Philip's banana collection. If the bananas are organized into groups of size 2. How many groups are there?,11,9,14,,
chal-580,Olivia spent 38 dollars at a supermarket. If there were 128 dollars in her wallet initially. How much money does she have left?,14,11,26,,
chal-581,Baker sold 44 cakes. If he had made 48 cakes initially. How many cakes would baker still have?,8,9,12,,
chal-582,Every day Ryan spends 5 hours on learning chinese and some more hours on learning english. If he spends 2 hours more on learning english than on learning chinese. How many hours does he spend on learning english?,19,30,28,,
chal-583,Rachel had to complete 8 pages of math homework. If she had to complete 3 more pages of math homework than reading homework. How many pages did she have to complete in all?,37,21,,,
chal-584,Dan has $ 5. He bought a chocolate for $ 3 and a candy bar for $ 7. How much money did he spend to buy candy bar than he did to buy chocolate?,20,15,24,,
chal-585,Jessie weighed 92 kilograms. After she started to go jogging everyday she lost 56 kilograms in the first week and 99 kilograms in the second week. How much did she weigh after the first week of jogging?,7,12,12,,
chal-586,"Julia played tag with 2 kids on monday, 14 kids on tuesday and 16 kids on wednesday. How many kids did she play with on tuesday and wednesday?",17,17,21,,
chal-587,21 children were riding on the bus. At the bus stop 10 children got off the bus while some more got on the bus. Then there were 16 children altogether on the bus. How many children got on the bus at the bus stop?,8,27,8,27,
chal-588,Baker made 62 cakes. Then he made 149 more cakes. He sold 144 of them. How many cakes would baker still have?,21,17,11,22,
chal-589,Paul got a box of some crayons for his birthday. By the end of the school year he only had 291 crayons left since he had either lost or given away 315 of them. How many crayons did he get for his birthday?,17,11,30,,
chal-590,Jack received 5 emails and 6 letters in the morning. He then received 9 emails and 7 letters in the afternoon. How many letters did jack receive in the day?,15,15,26,,
chal-591,Lewis earns $ 403 every week during the 233 weeks of harvest. If he has to pay $ 49 rent every week. How much money does he earn during harvest season?,19,14,22,,
chal-592,He then went to see the oranges being harvested. He found out that they harvest 16 sacks per day and that each sack containes 57 oranges. How many days will it take to harvest 80 sacks of oranges?,19,37,,,
chal-593,Robin has some packages of gum. There are 3 pieces in each package and a total of 42 pieces of gum. How many packages does Robin have?,14,35,,,
chal-594,During the Arkansas and Texas tech game the Razorback t-shirt shop made $ 215 by selling 5 t-shirts. What is the cost of each t-shirt?,12,14,13,,
chal-595,"The grasshopper, the frog and the mouse had a jumping contest. The grasshopper jumped 25 inches. The frog jumped 32 inches farther than the grasshopper and the mouse jumped 26 inches lesser than the frog. How far did the mouse jump?",23,23,24,,
chal-596,He then went to see the oranges being harvested. He found out that they harvest 76 sacks per day and discard 64 of them. How many oranges do they harvest per day if each sack contains 50 oranges?,24,22,18,,
chal-597,Jesse's room is 7 feet wide. If she needs a carpet of size 14 square feet. What is the length of her room?,21,13,30,,
chal-598,Every day Ryan spends 6 hours on learning english and 5 hours on learning chinese. If he learns for 2 days. How many hours does he spend on learning english in all?,22,18,31,,
chal-599,Ed had 10 more marbles than Doug. Doug lost 11 of his marbles at the playground. If Ed had 45 marbles. How many more marbles did Ed have than Doug then?,7,4,4,,
chal-600,Carol was sending out birthday invitations to her friends. Each package of invitations she bought had 10 invitations in it and she bought 7 packs. If she sends invitations to only 2 friends. How many invitations will be left?,26,24,30,,
chal-601,Rachel's tree had 4 apples initially. She picked some apples and now there are 2 apples left on the tree. How many apples did rachel pick?,13,13,26,,
chal-602,Bobby ate 28 pieces of candy. Then he ate 42 more. He also ate 63 pieces of chocolate. How many pieces of candy did Bobby eat?,19,,,,
chal-603,The Razorback shop makes $ 115 dollars off each jersey and $ 25 off each t-shirt. During the Arkansas and Texas tech game they sold 113 t-shirts and 78 jerseys. How much more does a jersey cost than a t-shirt?,18,38,19,,
chal-604,Bobby had 22 pieces of candy. He ate some pieces of candy. Then he ate 5 more. If he still has 8 pieces of candy left. How many pieces of candy had he eaten at the start?,37,33,,,
chal-605,If each pack costs 81 dollars. How much will it cost to buy 33 packs of dvds?,19,17,10,,
chal-606,There were 61 parents in the program and 177 pupils too. The program could seat 44 people. How many people were present in the program?,21,11,31,,
chal-607,Every day Ryan spends 4 hours on learning english and 6 hours on learning chinese. If he learns for 86 days. How many hours does he spend on learning english and chinese each day?,19,11,28,,
chal-608,Baker made 126 cakes and 48 pastries. If he sold 115 cakes and 81 pastries. How many more cakes than pastries did baker make?,8,16,22,16,
chal-609,At the arcade Dave had won 19 tickets. If he used 12 to buy some toys and 7 more to buy some clothes. How many more tickets did Dave use to buy toys than he did to buy clothes?,14,15,22,,
chal-610,"A grocery store had 30 bottles of regular soda, 8 bottles of diet soda and 41 apples. How many bottles did they have total?",16,16,12,23,
chal-611,There are 11 baskets of peaches. Each basket has 10 red peaches and 18 green peaches. How many peaches are in the baskets altogether?,29,10,28,,
chal-612,Paul got a box of 440 crayons for his birthday. During the school year he gave 111 crayons to his friends while he lost 106 crayons. How many crayons did he have left?,10,28,25,11,
chal-613,Some campers went rowing in the morning while 7 campers went rowing in the afternoon. If a total of 60 campers went rowing that day. How many campers went rowing in the morning?,19,15,23,,
chal-614,He then went to see the oranges being harvested. He found out that they harvest 74 sacks per day and discard 71 of them. How many sacks of oranges will they have after 51 days of harvest?,16,21,27,12,
chal-615,Next on his checklist is wax to stick the feathers together. If he has 557 g of wax and right now he just needs 17 g. Total how many grams of wax do the feathers require?,16,17,25,,
chal-616,Jerry had 7 books and 3 action figures on a shelf in his room. Later he added 2 more action figures to the shelf. How many more books than action figures were on his shelf?,21,19,21,,
chal-617,Matthew gave 6 crackers to each his friends. If he had 36 crackers. How many friends did he give crackers to?,33,38,,,
chal-618,Katie had 57 new games and 39 old games. Her friends had 34 new games. How many more games does Katie have than her friends?,22,19,26,,
chal-619,26 children were riding on the bus. At the bus stop 38 more children got on the bus. How many children are on the bus now?,14,28,,,
chal-620,Josh had 21 marbles in his collection. He found 7 marbles. How many marbles does he have now?,13,11,26,,
chal-621,Jake brought 6 balloons to the park. If Jake brought 4 more balloons than the number of balloons that Allan brought. How many balloons did Allan bring to the park?,14,45,21,,
chal-622,At the arcade Dave had won 14 tickets and lost 2 tickets. If he used 10 to buy some toys. How many tickets did Dave have left?,19,25,19,,
chal-623,During summer break 610769 kids from Lawrence county go to camp and the other 590796 kids stay home. An additional 22 kids from outside the county attended the camp. About how many kids are in Lawrence county?,23,28,,,
chal-624,Edward had $ 18. He spent $ 16. How much money does Edward have now?,16,9,,,
chal-625,For Gwen's birthday she received 5 dollars from her dad. Her mom gave her 2 more dollars. If she spent 6 dollars. How much more money did she receive from her dad than she did from her mom?,25,12,34,,
chal-626,Robin's hair was 14 inches long. It grew by 8 inches. Then he cut off 20 inches. How long is his hair now?,13,19,20,,
chal-627,Edward spent $ 16 to buy 92 books each book costing him the same amount of money. Now he has $ 6. How much did Edward have before he spent his money?,33,20,14,15,
chal-628,During summer break 34044 kids from Lawrence county go to camp and the other 134867 kids stay home. An additional 424944 kids from outside the county attended the camp. How many kids in total attended the camp?,30,32,,,
chal-629,Baker made 14 cakes and 153 pastries. If he sold 8 pastries and 97 cakes. How many more cakes than pastries did baker sell?,22,22,16,,
chal-630,"After a typhoon, 2 trees in Haley's backyard died. If she had grown 12 trees initially. How many trees does she have left?",20,19,,,
chal-631,Paco had 8 sweet cookies and 6 salty cookies. He ate 20 sweet cookies and 34 salty cookies. How many more salty cookies than sweet cookies did he eat?,13,13,24,20,
chal-632,"A grocery store had 79 bottles of regular soda, 53 bottles of diet soda and 42 apples. How many more bottles of regular soda than diet soda did they have?",28,21,,,
chal-633,Carol was sending out birthday invitations to 12 friends. She bought 3 packs each one having the same number of invitations. How many invitations are in each pack?,23,28,,,
chal-634,Jake has 13 fewer peaches and 3 more apples than Steven. Steven has 9 peaches and 8 apples. How many apples does Jake have?,20,17,36,,
chal-635,Josh had 22 marbles in his collection. Jack gave him 20 marbles. How many marbles does Josh have now?,17,14,23,,
chal-636,Faye had 31 packs of pencils each one having 6 pencils. She was placing her pencils into rows with 19 pencils in each row. How many pencils does she have?,15,24,27,,
chal-637,Jake has 84 more apples and 10 fewer peaches than Steven. Steven has 13 peaches and 52 apples. How many peaches does Jake have?,11,10,24,24,
chal-638,Rebecca wants to split a collection of eggs into 4 groups. Rebecca has 8 eggs and 6 marbles. How many eggs will each group have?,15,15,21,,
chal-639,Jack received 4 emails and sent 2 letters in the morning. He then received 6 emails and sent 8 letters in the afternoon. How many emails did Jack send in the day?,23,23,23,,
chal-640,"Rachel had to complete 7 pages of math homework, 11 pages of reading homework and 8 more pages of biology homework. How many more pages of reading homework than biology homework did she have?",13,13,13,41,
chal-641,Dan has $ 2. He bought some candy bar for $ 6 each one costing $ 3. How many candy bar did he buy?,25,21,23,,
chal-642,"Lucy went to the grocery store. She bought 4 packs of cookie, 22 packs of cake and 16 packs of chocolate. How many packs of groceries did she buy in all?",13,13,13,14,
chal-643,The school has 304 grades and each grade has 75 students. How many students were there in total?,9,12,24,,
chal-644,The cave is 1218 feet deep and they are already at 849 feet. If they are travelling at speed of 17. How much farther until they reach the end of the cave?,38,46,,,
chal-645,Bobby had 32 pieces of candy. He ate some pieces of candy. If he has 20 pieces of candy left. How many pieces of candy did Bobby eat?,20,20,24,,
chal-646,Baker sold 8 cakes. If he had made 40 cakes initially. How many more cakes did baker make than those he sold?,13,10,12,,
chal-647,"After eating a hearty meal they went to see the Buckingham palace. There, Rachel learned that 92 visitors came to the Buckingham palace that day. If there were 419 visitors the previous day and 103 visitors the day before that. How many visited the Buckingham palace before that day?",16,32,22,,
chal-648,"After eating a hearty meal they went to see the Buckingham palace. There, Rachel learned that 100 visitors came to the Buckingham palace on the previous day. If there were 666 visitors on that day. How many more visitors visited the Buckingham palace on that day than on the previous day?",14,15,,,
chal-649,In Haley's class 4 are boys who love to play marbles. If Haley has 23 marbles and wants to keep 15 marbles for herself. How many will each of the boys receive?,12,27,37,,
chal-650,Matthew had 22 crackers and 34 cakes. If Matthew gave equal numbers of crackers and cakes to his 11 friends. How many crackers did each person eat?,19,21,26,,
chal-651,Rachel has 3 apple trees. She picked 8 apples from each of her trees. Now the trees have a total 9 apples still on them. How many apples were there on all trees initially?,21,16,25,,
chal-652,Mary is baking a cake. The recipe calls for 9 cups of flour and 11 cups of sugar. She already put in 4 cups of flour. How many more cups of sugar than cups of flour does she need to add now?,38,26,,,
chal-653,The school is planning a field trip. The school has 17 classrooms. There are 46 school buses and a total of 92 students in the school. If all buses are full. How many seats are in each bus?,22,21,21,,
chal-654,For Gwen's birthday she received some dollars. She spent 8 dollars and has 6 dollars left with her. How much money did Gwen receive for her birthday?,12,13,46,,
chal-655,Danny collects bottle caps. He lost 66 bottle caps at the park. Now he has 25 bottle caps in his collection. How many bottle caps did danny have at first?,17,18,31,,
chal-656,Jake has 6 fewer peaches than Steven. Steven has 18 more peaches than Jill. If jill has 5 peaches. How many peaches does Jake have?,23,23,,,
chal-657,During summer break 907611 kids from Lawrence county stay home and the other 455682 kids go to camp. About how many kids are in Lawrence county?,26,21,,,
chal-658,Jerry had 8 action figures and 9 books on a shelf in his room. Later he added 10 more books to the shelf. How many books were on his shelf in all?,17,22,,,
chal-659,4 birds and 6 storks were sitting on the fence. 2 more storks came to join them. How many storks are sitting on the fence?,12,20,26,,
chal-660,Allan brought 6 balloons and Jake brought 2 balloons to the park. Jake then bought 3 more balloons at the park. How many more balloons did Allan have than Jake in the park?,12,22,15,,
chal-661,Faye was placing her pencils and crayons into 19 rows with 4 pencils and 27 crayons in each row. How many pencils does she have?,13,24,26,,
chal-662,The Razorback t-shirt shop sells each t-shirt for $ 201 dollars. During the Arkansas and Texas tech game they increased the prices by $ 217 per t-shirt and sold 14 t-shirts. How much money did they make from selling the t-shirts?,12,18,29,,
chal-663,Ed had 12 more marbles than Doug. Ed lost 20 of his marbles at the playground. If Ed had 17 marbles. How many marbles does Doug have now?,37,37,,,
chal-664,Lawrence county has 313473 kids. During summer break 274865 kids stay home and the rest go to camp. How many kids go to the camp during the break?,13,11,27,,
chal-665,The Razorback shop makes $ 210 dollars off each jersey and $ 240 off each t-shirt. During the Arkansas and Texas tech game they sold 177 t-shirts and 23 jerseys. How much more does a t-shirt cost than a jersey?,19,18,25,,
chal-666,Dan has $ 4. He bought a candy bar for $ 7 and a chocolate for $ 6. How much money did he spend buying the candy bar and chocolate?,11,10,19,,
chal-667,Jerry had 4 action figures and 22 books on a shelf in his room. Later he added 6 more action figures to the shelf. How many action figures were on his shelf in all?,30,26,,,
chal-668,Mary is baking a cake. The recipe calls for 11 cups of sugar and some more cups of flour. She already put in 3 cups of flour. If she still needs to add 6 more cups of flour. How many cups of flour did the recipe require?,18,25,33,,
chal-669,Baker made 54 cakes and 143 pastries. If he sold 68 cakes and 92 pastries. How many more pastries than cakes did baker sell?,11,11,30,,
chal-670,3 birds and 2 storks were sitting on the fence. 5 more birds came to join them. How many birds and storks are sitting on the fence?,19,19,15,21,
chal-671,Julia played tag with 7 kids on monday and 13 kids on tuesday. She played cards wtih 20 kids on wednesday. How many kids did she play tag with altogether?,32,20,16,,
chal-672,"Being his favorite, he saved checking on the grapevines for his last stop. He was told by 36 of the pickers that they fill 8 drums of grapes per day. How many days will it take to fill 240 drums of grapes?",22,30,22,,
chal-673,Bobby ate 23 pieces of candy. If he initially had 30 pieces of candy. How many pieces of candy does he still have left?,15,15,36,,
chal-674,The Ferris wheel in paradise park has 18 seats. Each seat can hold 15 people. If 10 seats are broken. How many people can ride the Ferris wheel at the same time?,16,13,35,,
chal-675,Robin's hair was 16 inches long. He cut off 11 inches. Then it again grew by 12 inches. How long is his hair now?,29,19,,,
chal-676,Frank was reading through his favorite book. The book had 193 pages equally distributed over 15 chapters. It took Frank 660 days to finish the book. How many chapters did he read per day?,11,15,15,16,
chal-677,"The grasshopper, the frog and the mouse had a jumping contest. The grasshopper jumped 19 inches. The grasshopper jumped 4 inches farther than the frog and the mouse jumped 44 inches lesser than the frog. How far did the frog jump?",20,23,27,,
chal-678,Winter is almost here and most animals are migrating to warmer countries. There are 18 bird families living near the mountain. If 38 bird families flew away to africa and 80 bird families flew away to asia. How many bird families flew away for the winter?,19,23,21,,
chal-679,Matthew had 23 crackers. He has 11 crackers left after he gave equal numbers of crackers to his 2 friends. How many crackers did each friend eat?,15,24,23,,
chal-680,Rachel's tree had 4 apples. She picked 2 apples from her tree. Thereafter 3 new apples grew on the tree. How many apples are there on the tree now?,12,15,18,36,
chal-681,Summer is almost here and most animals are migrating back to cooler countries. There are 87 bird families living near a mountain. If 18 new bird families joined them. How many bird families live near the mountain now?,21,16,36,,
chal-682,Danny collects bottle caps and wrappers. He found 15 bottle caps and 18 wrappers at the park. Now he has 67 wrappers and 35 bottle caps in his collection. How many more wrappers than bottle caps does danny have now?,22,15,17,23,
chal-683,Melissa scored a total of 91 points in 13 games scoring the same for each game. How many points did she score in each game?,15,14,,,
chal-684,Robin's hair was 17 inches long. He cut off some inches of her hair. If his hair is now 13 inches long. How much of his hair did he cut?,13,13,12,,
chal-685,Baker made 56 pastries and 124 cakes. If he sold 104 cakes and 29 pastries. How many pastries would baker still have?,18,,,,
chal-686,The school is planning a field trip. The school has 67 classrooms. There are 66 students in each classroom in the school. If there are 6 seats on each school bus. How many buses are needed to take the trip?,18,17,25,,
chal-687,The Razorback t-shirt shop makes $ 87 dollars off each t-shirt sold. During the Arkansas game and the Texas tech game they sold a total of 95 t-shirts. If they sold 47 t-shirts during the Arkansas game. How much money did they make from selling the t-shirts?,15,29,26,,
chal-688,3 birds were sitting on the fence. 2 more birds and 6 more storks came to join them. How many more storks than birds are sitting on the fence?,17,15,43,,
chal-689,The school is planning a field trip. The school has 21 classrooms. There are 98 students in the school and 7 school buses. If all buses are full. How many seats are in each bus?,19,25,26,,
chal-690,Randy has 58 blocks. He uses 27 blocks to build a tower and 53 blocks to build a house. How many blocks did he use to build the tower and the house altogether?,18,18,23,,
